"","run_id","audio_info","emotion","response","gender","msi1","msi2","msi3","msi4","msi5"
"151",15,"031.mp3","happy","59","Female","6-9","3-4","4-6","6-9","6 or more"
"152",15,"031.mp3","sad","0","Female","6-9","3-4","4-6","6-9","6 or more"
"153",15,"031.mp3","tender","0","Female","6-9","3-4","4-6","6-9","6 or more"
"154",15,"031.mp3","fear","0","Female","6-9","3-4","4-6","6-9","6 or more"
"155",15,"031.mp3","anger","0","Female","6-9","3-4","4-6","6-9","6 or more"
"156",15,"061.mp3","happy","84","Female","6-9","3-4","4-6","6-9","6 or more"
"157",15,"061.mp3","sad","0","Female","6-9","3-4","4-6","6-9","6 or more"
"158",15,"061.mp3","tender","0","Female","6-9","3-4","4-6","6-9","6 or more"
"159",15,"061.mp3","fear","0","Female","6-9","3-4","4-6","6-9","6 or more"
"160",15,"061.mp3","anger","0","Female","6-9","3-4","4-6","6-9","6 or more"
"161",15,"121.mp3","happy","29","Female","6-9","3-4","4-6","6-9","6 or more"
"162",15,"121.mp3","sad","0","Female","6-9","3-4","4-6","6-9","6 or more"
"163",15,"121.mp3","tender","0","Female","6-9","3-4","4-6","6-9","6 or more"
"164",15,"121.mp3","fear","56","Female","6-9","3-4","4-6","6-9","6 or more"
"165",15,"121.mp3","anger","60","Female","6-9","3-4","4-6","6-9","6 or more"
"166",15,"001.mp3","happy","59","Female","6-9","3-4","4-6","6-9","6 or more"
"167",15,"001.mp3","sad","0","Female","6-9","3-4","4-6","6-9","6 or more"
"168",15,"001.mp3","tender","67","Female","6-9","3-4","4-6","6-9","6 or more"
"169",15,"001.mp3","fear","0","Female","6-9","3-4","4-6","6-9","6 or more"
"170",15,"001.mp3","anger","0","Female","6-9","3-4","4-6","6-9","6 or more"
"171",15,"091.mp3","happy","39","Female","6-9","3-4","4-6","6-9","6 or more"
"172",15,"091.mp3","sad","0","Female","6-9","3-4","4-6","6-9","6 or more"
"173",15,"091.mp3","tender","0","Female","6-9","3-4","4-6","6-9","6 or more"
"174",15,"091.mp3","fear","63","Female","6-9","3-4","4-6","6-9","6 or more"
"175",15,"091.mp3","anger","41","Female","6-9","3-4","4-6","6-9","6 or more"
"176",15,"151.mp3","happy","61","Female","6-9","3-4","4-6","6-9","6 or more"
"177",15,"151.mp3","sad","12","Female","6-9","3-4","4-6","6-9","6 or more"
"178",15,"151.mp3","tender","62","Female","6-9","3-4","4-6","6-9","6 or more"
"179",15,"151.mp3","fear","0","Female","6-9","3-4","4-6","6-9","6 or more"
"180",15,"151.mp3","anger","0","Female","6-9","3-4","4-6","6-9","6 or more"
"181",16,"001.mp3","happy","61","Female","10 or more","3-4","1","6-9","2"
"182",16,"001.mp3","sad","37","Female","10 or more","3-4","1","6-9","2"
"183",16,"001.mp3","tender","36","Female","10 or more","3-4","1","6-9","2"
