success;trial_type;trial_index;time_elapsed;internal_node_id;run_id;condition;recorded_at;source_code_version;ip;user_agent;device;browser;browser_version;platform;platform_version;rt;stimulus;response;task;timeout;failed_images;failed_audio;failed_video;slider_start
;html-button-response;11;102257;0.0-6.0;15;1;2023-07-28 12:47:05;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15";Macintosh;Safari;15.4;OS X;10_15_7;3510;<p>How would you define your musical experience?</p>;2;text_button_response;;;;;
true;fullscreen;12;103261;0.0-7.0;15;1;2023-07-28 12:47:05;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15";Macintosh;Safari;15.4;OS X;10_15_7;;;;;;;;;
;html-keyboard-response;13;107592;0.0-8.0;15;1;2023-07-28 12:47:05;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15";Macintosh;Safari;15.4;OS X;10_15_7;4328;Thank you for your participation. You may now close the window.;escape;;;;;;
true;fullscreen;0;3466;0.0-0.0;16;1;2023-07-28 12:51:33;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";WebKit;Chrome;114.0.0.0;Windows;10.0;;;;;;;;;
;html-button-response;1;6468;0.0-1.0;16;1;2023-07-28 12:51:33;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";WebKit;Chrome;114.0.0.0;Windows;10.0;2998;Welcome to the experiment;0;;;;;;
;html-button-response;2;13530;0.0-2.0;16;1;2023-07-28 12:51:33;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";WebKit;Chrome;114.0.0.0;Windows;10.0;7060;"<p>In this experiment, you will hear 6 excerpts of varying rhythmic complexity.</p>
        <p> At the end of each track, you must rate the level of your enjoyment.</p>";0;instruction;;;;;
true;preload;3;13532;0.0-3.0;16;1;2023-07-28 12:51:33;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";WebKit;Chrome;114.0.0.0;Windows;10.0;;;;;false;[];[];[];
true;fullscreen;0;1910;0.0-0.0;18;1;2023-07-28 12:53:00;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36";WebKit;Chrome;115.0.0.0;Windows;10.0;;;;;;;;;
;html-button-response;1;2820;0.0-1.0;18;1;2023-07-28 12:53:00;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36";WebKit;Chrome;115.0.0.0;Windows;10.0;908;Welcome to the experiment;0;;;;;;
;html-button-response;2;3601;0.0-2.0;18;1;2023-07-28 12:53:00;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36";WebKit;Chrome;115.0.0.0;Windows;10.0;780;"<p>In this experiment, you will hear 6 excerpts of varying rhythmic complexity.</p>
        <p> At the end of each track, you must rate the level of your enjoyment.</p>";0;instruction;;;;;
