,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,category,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
105,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,"Because You Loved Me (Theme from ""Up Close and Personal"")",28UMiBhn383n9S7GL4tsxD,https://p.scdn.co/mp3-preview/0eb419f98637381b3d5ef232c909eb541231ee37?cid=0c571addac5347aa9932ddc72e415d79,1996-03-11,['canadian pop'],76,0.615,0.467,-9.883,0.0327,0.314,0.0,0.099,0.177,119.919,1,1,273667,pop
106,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Last Kiss,0QnONzv3TvHAWk294h6DaQ,https://p.scdn.co/mp3-preview/083e2353ef0b32995c84626204cca20ae0f704e0?cid=0c571addac5347aa9932ddc72e415d79,1999,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'permanent wave', 'rock']",75,0.622,0.692,-6.97,0.0276,0.363,0.000158,0.193,0.774,112.053,7,1,195467,rock
107,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,If I Let You Go - Radio Edit,3St0RlsL0Z0klK1mqWakQm,https://p.scdn.co/mp3-preview/a06635f1541717c67f7ec75d14cb53b68425b1b9?cid=0c571addac5347aa9932ddc72e415d79,1999-11-01,['boy band'],70,0.581,0.678,-4.242,0.0284,0.00669,0.0,0.0807,0.677,181.991,0,1,221267,uncategorized
108,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Daughter - Remastered,53eJFr4Mfbw5PXJ01K6cFw,https://p.scdn.co/mp3-preview/78311745e8fc6229d80ee4bd44e45738ca20d93b?cid=0c571addac5347aa9932ddc72e415d79,1993-10-19,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'permanent wave', 'rock']",72,0.615,0.702,-9.686,0.0278,0.00746,0.00431,0.0608,0.734,96.987,7,1,234333,rock
109,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Are You Ready,7A1odihHBrI8n9k0Fefh2j,https://p.scdn.co/mp3-preview/fbb3b6eb9a77c184b68d8df0a69b8fe1559bc503?cid=0c571addac5347aa9932ddc72e415d79,1990-09-24,"['australian rock', 'hard rock', 'rock']",64,0.452,0.821,-4.816,0.0324,0.0165,3.53e-06,0.13,0.414,108.529,7,1,250333,rock
110,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,The Distance,0fsz7tJ7UKXT9hliLfO7aE,https://p.scdn.co/mp3-preview/2f7fdc3170133cb9ea71901478b177845c291534?cid=0c571addac5347aa9932ddc72e415d79,1996-09-17,"['alternative rock', 'pop rock', 'post-grunge', 'sacramento indie']",64,0.456,0.752,-8.121,0.09,0.0095,0.00145,0.0573,0.897,183.569,11,0,179600,rock
111,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,C'est La Vie,0P6CPJrNJ1Zt755CQTWg3S,https://p.scdn.co/mp3-preview/a1674d8e5376de5fd4296de36f7e0ec922a6b9fa?cid=0c571addac5347aa9932ddc72e415d79,1998-03-25,"['europop', 'girl group']",66,0.705,0.936,-5.109,0.0306,0.0978,0.000124,0.0506,0.938,109.004,7,1,173693,pop
112,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,My Boo - Hitman's Club Mix,4c0rkFPszqQTyC753tsCMU,https://p.scdn.co/mp3-preview/6ab47114a4756eaa7857b55d6452a3d445d786fc?cid=0c571addac5347aa9932ddc72e415d79,1996-03-26,['atlanta bass'],65,0.885,0.477,-9.196,0.0664,0.000131,0.000664,0.336,0.691,130.078,6,0,346840,uncategorized
113,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,My Love Is Your Love,1ckU1EhAO0Nr73QYw24SWJ,https://p.scdn.co/mp3-preview/d85095d0b3a149f2a8b0e0a19f5f07afc0de92c1?cid=0c571addac5347aa9932ddc72e415d79,1998-11-17,['dance pop'],71,0.77,0.475,-9.512,0.159,0.0561,4.72e-06,0.0607,0.473,82.511,7,1,261573,pop
114,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Differences,0Uyh92tLyb9JawG8lmWCzJ,https://p.scdn.co/mp3-preview/315004b74f73d6087fa08da2c91e1cd83e847157?cid=0c571addac5347aa9932ddc72e415d79,2001-04-03,"['contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",70,0.562,0.594,-4.578,0.0558,0.318,0.0,0.311,0.423,62.876,3,0,265533,r&b
115,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Gone Till November (feat. The New York Philharmonic Orchestra),6Gd123r71KDdpH8JRdYvrh,https://p.scdn.co/mp3-preview/03504b5e62878fbedbbe446028c257c718aa4f7d?cid=0c571addac5347aa9932ddc72e415d79,1997,['rap kreyol'],49,0.673,0.538,-7.957,0.0854,0.0957,4.41e-05,0.14,0.454,85.936,4,1,207627,rap
116,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Weak,71EHOyEOhNx1SzTebRRyng,https://p.scdn.co/mp3-preview/29bae245cb356b9ab8df2bcd939f6ef3675c1790?cid=0c571addac5347aa9932ddc72e415d79,1992-10-27,"['contemporary r&b', 'girl group', 'hip pop', 'new jack swing', 'r&b', 'urban contemporary']",71,0.693,0.533,-10.954,0.0402,0.107,0.0,0.0695,0.568,127.661,2,0,291907,r&b
117,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Ex-Factor,2VjXGuPVVxyhMgER3Uz2Fe,https://p.scdn.co/mp3-preview/c0ab315b7378564e99b76c1125a315c9dfc75174?cid=0c571addac5347aa9932ddc72e415d79,1998-08-25,"['alternative r&b', 'conscious hip hop', 'hip hop', 'neo soul', 'new jersey rap', 'r&b', 'soul']",74,0.593,0.619,-9.003,0.0976,0.118,0.0,0.484,0.668,80.02,3,0,326533,r&b
