,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,category,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
108,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,Boys Like You - Acoustic,51xRMJFRBrW9C1RI1qW4S0,https://p.scdn.co/mp3-preview/ea883defa8f7863897690415b853eaa9e7c97142?cid=0c571addac5347aa9932ddc72e415d79,2017-04-28,['alt z'],61,0.477,0.128,-14.567,0.0707,0.928,0.0,0.0875,0.38,88.917,2,1,238576,uncategorized
109,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,Oceans (Where Feet May Fail),5Mw9bXG1dLNhbjofkVS2oR,https://p.scdn.co/mp3-preview/26a2eab3ff7a6d77a64689927ef84880e662362c?cid=0c571addac5347aa9932ddc72e415d79,2013-02-26,"['ccm', 'christian music', 'world worship', 'worship']",70,0.262,0.361,-10.187,0.0333,0.508,0.00268,0.108,0.056,126.786,2,1,535963,world
110,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,Not Over You,6j7hih15xG2cdYwIJnQXsq,https://p.scdn.co/mp3-preview/c50e9e69a40b94eb9d6782d913a07c20908ae5b3?cid=0c571addac5347aa9932ddc72e415d79,2011-09-16,"['neo mellow', 'pop rock']",68,0.63,0.894,-4.592,0.0544,0.255,0.0,0.181,0.364,142.051,10,1,218520,pop
111,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,Deep End,555CH6CnGJRqO37pqA30vW,https://p.scdn.co/mp3-preview/3a00988da9b5535ea3edb406b4997a17a92cd3b8?cid=0c571addac5347aa9932ddc72e415d79,2016-03-25,"['neo mellow', 'uk pop']",66,0.455,0.296,-8.513,0.0399,0.761,0.0,0.0783,0.31,171.744,2,1,208840,pop
112,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,Chasing Pavements,0Z5ok0QLLttAKsujOZYOXf,https://p.scdn.co/mp3-preview/209e4b33acb8fd535c65ab403087a6c0c3dabc65?cid=0c571addac5347aa9932ddc72e415d79,2008-01-27,"['british soul', 'pop', 'pop soul', 'uk pop']",76,0.616,0.47,-6.092,0.0253,0.291,0.0,0.111,0.325,80.03,5,0,210507,pop
113,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,Sorry,44n97yHySt0Z9rqPaXgjCK,https://p.scdn.co/mp3-preview/b262426b840f6b0c0f59ef5ce2cc4cdbc7f56ecb?cid=0c571addac5347aa9932ddc72e415d79,2017-06-02,"['electropop', 'etherpop', 'indie poptimism', 'pop']",74,0.513,0.25,-9.376,0.0367,0.913,0.0,0.117,0.351,74.103,5,0,220541,pop
114,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,How to Save a Life,5fVZC9GiM4e8vu99W0Xf6J,https://p.scdn.co/mp3-preview/30d90238cdd10ea0a938ddc8ec122dabb87ac035?cid=0c571addac5347aa9932ddc72e415d79,2005-09-13,"['neo mellow', 'piano rock', 'pop', 'pop rock']",83,0.64,0.743,-4.08,0.0379,0.269,0.0,0.101,0.361,122.035,10,1,262533,pop
115,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,deja vu,6HU7h9RYOaPRFeh0R3UeAr,https://p.scdn.co/mp3-preview/3882d764b154e61eade78125e885337ad9d85ae7?cid=0c571addac5347aa9932ddc72e415d79,2021-05-21,['pop'],88,0.442,0.612,-7.222,0.112,0.584,5.7e-06,0.37,0.178,180.917,2,1,215507,pop
116,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,Before He Cheats,0ZUo4YjG4saFnEJhdWp9Bt,https://p.scdn.co/mp3-preview/8dcbc4c73d9300b77c0df17c47cee1c54c07ab77?cid=0c571addac5347aa9932ddc72e415d79,2005-11-14,"['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'country road', 'dance pop']",83,0.519,0.749,-3.318,0.0405,0.271,0.0,0.119,0.29,147.905,6,0,199947,country
117,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,Try,6buXDkw3Gv4fQC1OZKUhnR,https://p.scdn.co/mp3-preview/e4903efbe60263380601db61889a345d38ae3f3b?cid=0c571addac5347aa9932ddc72e415d79,2014-09-30,"['dance pop', 'neo mellow', 'pop']",62,0.603,0.376,-9.77,0.0288,0.807,0.0,0.108,0.538,139.995,1,1,224573,pop
